Metric,B1: LLM+Tool,B2: Vanilla RAG,Proposed: MAS
Faithfulness,0.02449449119140589,0.8205366243663457,0.07568452252040785
Answer Relevancy,0.7206412988308829,0.2252411629790267,0.8333464623539913
Context Precision,0.0,0.0,0.0
Context Recall,0.0,0.013333333333333332,0.013333333333333332
Cosine Similarity,0.7506175079085669,0.7664264326694049,0.7794869902473649
LLM Judge Score,4.366666666666666,2.52,4.84
Classification Accuracy,0.0,0.84,0.88
Category Precision (macro),0.0,0.8888888888888888,0.9230769230769231
Category Recall (macro),0.0,0.8181818181818181,0.8928571428571428
Category F1 (macro),0.0,0.8263888888888888,0.8983333333333333
Ailment Accuracy,0.0,0.0,0.16
Avg Latency (s),8.75240707397461,3.79396258354187,34.75285894393921
